"
Заголовок",Орешкин сообщил о планах Дерипаски и Вексельберга поехать в Давос,"
Ссылка",https://www.rbc.ru/business/17/12/2018/5c17d9cb9a79475bb3a53e9a?from=main,"
Новость","Состав российской делегации определит Медведев, добавил глава Минэкономразвития","
Дата",20:19
"
Заголовок",«Роснефть» решила сократить московский офис «Башнефти»,"
Ссылка",https://www.rbc.ru/business/17/12/2018/5c17a2569a7947470bb1204f?from=main,"
Новость","Сотрудники московского офиса «Башнефти» получили предложения переехать со следующего года на работу в Уфу или уволиться с выплатой компенсации. В офис в центре Москвы переедут сотрудники «Роснефти», контролирующей «Башнефть»","
Дата",18:41
"
Заголовок",Волкер допустил санкции против России после инцидента с украинскими ВМС,"
Ссылка",https://www.rbc.ru/politics/17/12/2018/5c17b6af9a79474fb932e34e?from=main,"
Новость","США и их партнеры могут ввести против Москвы дополнительные санкции и нарастить военное присутствие в Черном море. Такие действия послужат ответными мерами на действия России в Керченском проливе, заявил Курт Волкер","
Дата",18:23
"
Заголовок",Киев ответил на слова Лаврова о подготовке Украиной провокации у границы,"
Ссылка",https://www.rbc.ru/rbcfreenews/5c17d2489a794759eaf97725?from=main,"
Новость","Россия на границе с Украиной развернула 80 тыс. военнослужащих, заявили в Киеве в ответ на слова министра иностранных дел Сергея Лаврова. Ранее он сообщил о том, что Украина готовит «вооруженную провокацию» на границе с Крымом","
Дата",20:31
"
Заголовок",Глава ЦППК объяснил замену экспрессов обычными электричками в Подмосковье,"
Ссылка",https://www.rbc.ru/business/17/12/2018/5c17a8449a794749928725c5?from=main,"
Новость","Глава ЦППК Максим Дьяконов объяснил, что подобные замены делались из-за технической неисправности новых составов. По его словам, в таких ситуациях пассажир может получить компенсацию","
Дата",18:09
"
Заголовок",В Колумбии спасли похищенную родственницу Габриэля Гарсиа Маркеса,"
Ссылка",https://www.rbc.ru/society/17/12/2018/5c17ba029a794750e7280f57?from=main,"
Новость",Мелисса Мартинес Гарсиа находилась в плену у вымогателей выкупа с августа этого года. Преступники требовали за ее освобождение $5 млн,"
Дата",18:56
"
Заголовок",Один из ведущих онлайн-ретейлеров подешевел на £1 млрд из-за спада продаж,"
Ссылка",https://www.rbc.ru/business/17/12/2018/5c177ed19a794739ba75ac3b?from=main,"
Новость",Кошмаром и катастрофой назвали аналитики квартальные результаты продаж онлайн-магазина Asos. В высокий сезон для ретейлеров — ноябрь — ожидания компании не оправдались и эксперты уже заговорили о глобальном кризисе спроса,"
Дата",14:55
"
Заголовок",Лидер «Шалтая-Болтая» опроверг связь с обвиняемыми в госизмене из ФСБ,"
Ссылка",https://www.rbc.ru/society/17/12/2018/5c1259ab9a7947735bd92d90?from=main,"
Новость",Лидер группировки хакеров «Анонимный интернационал» Владимир Аникеев опроверг широко обсуждавшуюся связь своего дела о взломе переписки чиновников с делом офицеров ЦИБ ФСБ. Он также отрицает взлом Twitter Дмитрия Медведева,"
Дата",16:54
"
Заголовок",В Кремле назвали неправильным создание тепличных условий для цирков,"
Ссылка",https://www.rbc.ru/politics/17/12/2018/5c1777f09a79473717411453?from=main,"
Новость","Государство поддерживает отечественные цирки, однако не должно создавать тепличные условия для них, заявил Дмитрий Песков. Так он отреагировал на спор между Эдгардом Запашным, Cirque du Soleil и фирмой Гуцериева","
Дата",13:35
"
Заголовок",Лавров пообещал не воевать с Украиной,"
Ссылка",https://www.rbc.ru/politics/17/12/2018/5c1762b69a79472dacff449f?from=main,"
Новость","По его словам, сейчас с Киевом воюет русскоязычное население Украины. Москве, подчеркнул министр, важно сохранить отношения с соседней страной","
Дата",12:14
"
Заголовок",Группа Гуцериева обвинила Запашного во лжи о проекте с Cirque du Soleil,"
Ссылка",https://www.rbc.ru/society/17/12/2018/5c17549f9a79472869cc48ca?from=main,"
Новость",«Сафмар» обвинила Эдгарда Запашного в распространении клеветы на совещании с участием Владимира Путина. Все сказанное Запашным в компании Михаила Гуцериева назвали грубой ложью,"
Дата",10:52
"
Заголовок",Mediascope раскрыла данные о российской аудитории сайтов для взрослых,"
Ссылка",https://www.rbc.ru/technology_and_media/17/12/2018/5c1646349a7947ec373fee5d?from=main,"
Новость","Исследовательская компания Mediascope впервые представила данные о российской аудитории порносайтов: в среднем в месяц на них заходят 11% всех совершеннолетних, а 1,5 млн из них проводят на таких ресурсах более десяти минут в день","
Дата",06:00
"
Заголовок",Глава «ВымпелКома» назвал риски для развития 5G в России,"
Ссылка",https://www.rbc.ru/technology_and_media/17/12/2018/5c172c739a79471c4c9cc289?from=main,"
Новость","Появление монополиста на рынке 5G-связи станет катастрофой для рынка, уверен гендиректор «ВымпелКома». По его словам, операторы не смогут конкурировать при ограничении доступа к сетям пятого поколения","
Дата",08:26
"
Заголовок",Первый пошел: как будут продавать санируемый Азиатско-Тихоокеанский банк,"
Ссылка",https://www.rbc.ru/finances/17/12/2018/5c1763bc9a79472dacff44a3?from=main,"
Новость","Центробанк готов продать Азиатско-Тихоокеанский банк. Интерес к нему проявили три структуры, в том числе один иностранный инвестор. Для ЦБ сделка заведомо убыточна, но запрашиваемая цена в 6-9 млрд руб. адекватна","
Дата",12:44
"
Заголовок",«Зенит» и «Краснодар» узнали соперников по 1/16 финала Лиги Европы,"
Ссылка",https://sportrbc.ru/news/5c1799009a7947439e0a993f,"
Новость",​УЕФА провел жеребьевку первого раунда плей-офф Лиги Европы. Россию в 1/16 финала турнира будут представлять «Зенит» и «Краснодар»,"
Дата",15:40
"
Заголовок",Орешкин сообщил о планах Дерипаски и Вексельберга поехать в Давос,"
Ссылка",https://www.rbc.ru/business/17/12/2018/5c17d9cb9a79475bb3a53e9a?from=main,"
Новость","Состав российской делегации определит Медведев, добавил глава Минэкономразвития","
Дата",20:19
"
Заголовок",«Роснефть» решила сократить московский офис «Башнефти»,"
Ссылка",https://www.rbc.ru/business/17/12/2018/5c17a2569a7947470bb1204f?from=main,"
Новость","Сотрудники московского офиса «Башнефти» получили предложения переехать со следующего года на работу в Уфу или уволиться с выплатой компенсации. В офис в центре Москвы переедут сотрудники «Роснефти», контролирующей «Башнефть»","
Дата",18:41
